exp_tag,momentum,lr,ELR,weight_decay,val_acc_last,val_error_last
exp2_m0.0_lr0.0001,0,0.0001,0.0001,0.0001,0.02,0.98
exp2_m0.0_lr0.0005,0,0.0005,0.0005,0.0001,0.3,0.7
exp2_m0.0_lr0.001,0,0.001,0.001,0.0001,0.51,0.49
exp2_m0.0_lr0.005,0,0.005,0.005,0.0001,0.64,0.36
exp2_m0.0_lr0.01,0,0.01,0.01,0.0001,0.66,0.34
exp2_m0.0_lr0.05,0,0.05,0.05,0.0001,0.68,0.32
exp2_m0.0_lr0.1,0,0.1,0.1,0.0001,0.68,0.32
exp2_m0.9_lr0.0001,0.9,0.0001,0.001,0.0001,0.5,0.5
exp2_m0.9_lr0.0005,0.9,0.0005,0.005,0.0001,0.63,0.37
exp2_m0.9_lr0.001,0.9,0.001,0.01,0.0001,0.65,0.35
exp2_m0.9_lr0.005,0.9,0.005,0.05,0.0001,0.67,0.33
exp2_m0.9_lr0.01,0.9,0.01,0.1,0.0001,0.66,0.34
exp2_m0.9_lr0.05,0.9,0.05,0.5,0.0001,0.45,0.55
exp2_m0.9_lr0.1,0.9,0.1,1,0.0001,0.08,0.92
